HITID	URL	image1	address	LISTING_ID	Worker	Answer	Date
3BFNCI9LYKQQ2G7V6TZLAQ3QXRE37H	http://www.movoto.com/sunnyvale-ca/1186-hollenbeck-ave-sunnyvale-ca-94087-100_81420505/	http://100.mlsimages.movoto.com/005/81420505_0.jpg	1186 Hollenbeck Ave	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:14:41 UTC 2014
3T8DUCXY0N6ZFGTI053W6ZYUMGET9Z	http://www.movoto.com/sunnyvale-ca/1562-s-mary-ave-sunnyvale-ca-94087-100_81407855/	http://100.mlsimages.movoto.com/055/81407855_0.jpg	1562 S Mary Ave	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:15:09 UTC 2014
3ZFRE2BDQ9EL2OKF9DYS8QLTEFRXZ2	http://www.movoto.com/sunnyvale-ca/991-asilomar-ter-1-sunnyvale-ca-94086-100_81404384/	http://100.mlsimages.movoto.com/084/81404384_0.jpg	991 Asilomar TER #1	sunnyvale	AGNJKSH5LFKXZ	5 Star - Top 20%	Fri Nov 14 00:15:28 UTC 2014
33QQ60S6ASIWJZKU0EADIKJ32QS0UM	http://www.movoto.com/cupertino-ca/22219-hammond-way-cupertino-ca-95014-100_81422741/	http://100.mlsimages.movoto.com/041/81422741_0.jpg	22219 Hammond Way	cupertino	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:15:56 UTC 2014
3087LXLJ6MG70HN45PFEWKI0S3D0FN	http://www.movoto.com/sunnyvale-ca/1571-lewiston-dr-sunnyvale-ca-94087-100_81411583/	http://100.mlsimages.movoto.com/083/81411583_0.jpg	1571 Lewiston Dr	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:16:55 UTC 2014
3J9UN9O9J3SN5J90OF6ZBIASLAU0JQ	http://www.movoto.com/sunnyvale-ca/914-mangrove-ave-sunnyvale-ca-94086-100_81425360/	http://100.mlsimages.movoto.com/060/81425360_0.jpg	914 Mangrove Ave	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:17:46 UTC 2014
3XUSYT70IT1A2X98EJKO8KFFGQX0DC	http://www.movoto.com/sunnyvale-ca/342-santa-elena-ter-21-sunnyvale-ca-94085-100_81416377/	http://100.mlsimages.movoto.com/077/81416377_0.jpg	342 Santa Elena TER #21	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:57:11 UTC 2014
37MQ8Z1JQEWKWI7DP2BG4TIVVCMY21	http://www.movoto.com/sunnyvale-ca/693-w-remington-dr-sunnyvale-ca-94087-100_81406777/	http://100.mlsimages.movoto.com/077/81406777_0.jpg	693 W Remington Dr	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:05:21 UTC 2014
3XABXM4AJ15M9VIGE93N1YSWI3Y8QC	http://www.movoto.com/cupertino-ca/10431-e-estates-dr-cupertino-ca-95014-100_81427467/	http://100.mlsimages.movoto.com/067/81427467_0.jpg	10431 E Estates Dr	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:04:55 UTC 2014
359AP8GAGGKEFG3EZMAM3T7K34QC7N	http://www.movoto.com/sunnyvale-ca/1356-sydney-dr-sunnyvale-ca-94087-100_81433824/	http://100.mlsimages.movoto.com/024/81433824_0.jpg	1356 Sydney Dr	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:09:16 UTC 2014
3MWOYZD5WVO4RQS45Y02UQNRSXENO6	http://www.movoto.com/cupertino-ca/21201-rainbow-dr-cupertino-ca-95014-100_81407703/	http://100.mlsimages.movoto.com/003/81407703_0.jpg	21201 Rainbow Dr	cupertino	A3H8M155NBFE1L	NA - no interior pics	Fri Nov 14 01:10:23 UTC 2014
33EEIIWHK77KK7ETM2EXTCC4T1YVQ3	http://www.movoto.com/sunnyvale-ca/982-berkshire-ave-sunnyvale-ca-94087-100_81428634/	http://100.mlsimages.movoto.com/034/81428634_0.jpg	982 Berkshire Ave	sunnyvale	A3H8M155NBFE1L	NA - no interior pics	Fri Nov 14 01:12:08 UTC 2014
3ULIZ0H1VA5F59FXVW65ODAX815158	http://www.movoto.com/cupertino-ca/10745-n-de-anza-blvd-313-cupertino-ca-95014-100_81405855/	http://100.mlsimages.movoto.com/055/81405855_0.jpg	10745 N De Anza BLVD #313	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:11:36 UTC 2014
3TUOHPJXYHXH8TFAYQEL9MRBXDMWXA	http://www.movoto.com/cupertino-ca/10681-johnson-ave-cupertino-ca-95014-100_81342267/	http://100.mlsimages.movoto.com/067/81342267_0.jpg	10681 Johnson Ave	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:12:51 UTC 2014
3A520CCNWN0BVGLQ2GS1389DPOAEAA	http://www.movoto.com/cupertino-ca/10364-sterling-blvd-cupertino-ca-95014-100_81434740/	http://100.mlsimages.movoto.com/040/81434740_0.jpg	10364 Sterling BLVD	cupertino	A3H8M155NBFE1L	NA - no interior pics	Fri Nov 14 01:18:49 UTC 2014
3DQYSJDTYLBNRTTJDQKFNGKBQ9IEXD	http://www.movoto.com/sunnyvale-ca/974-la-mesa-ter-c-sunnyvale-ca-94086-100_81427398/	http://100.mlsimages.movoto.com/098/81427398_0.jpg	974 La Mesa TER #c	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:21:45 UTC 2014
3M47JKRKCX1TZDZWZ0PPVTB5I2L86E	http://www.movoto.com/cupertino-ca/10131-parlett-pl-cupertino-ca-95014-100_81415473/	http://100.mlsimages.movoto.com/073/81415473_0.jpg	10131 Parlett Pl	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:23:38 UTC 2014
378G7J1SJLY82TOT3LOTLX64H7CEWK	http://www.movoto.com/sunnyvale-ca/563-e-mc-kinley-ave-b-sunnyvale-ca-94086-100_81407222/	http://100.mlsimages.movoto.com/022/81407222_0.jpg	563 E Mc Kinley Ave #b	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 01:24:14 UTC 2014
30QQTY5GMKKA1AKELDVMXZTQA4WU7E	http://www.movoto.com/cupertino-ca/21848-corte-madera-ln-cupertino-ca-95014-100_81404968/	http://100.mlsimages.movoto.com/068/81404968_0.jpg	21848 Corte Madera Ln	cupertino	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 01:24:35 UTC 2014
3D17ECOUOEVCRUSTHDIC9GCDU5E13I	http://www.movoto.com/cupertino-ca/21361-columbus-ave-cupertino-ca-95014-100_81416326/	http://100.mlsimages.movoto.com/026/81416326_0.jpg	21361 Columbus Ave	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:23:56 UTC 2014
3538U0YQ1FU3H9M1OCXXYIG7VFWF3W	http://www.movoto.com/sunnyvale-ca/1014-duncan-ave-sunnyvale-ca-94089-100_81402697/	http://100.mlsimages.movoto.com/097/81402697_0.jpg	1014 Duncan Ave	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 01:25:18 UTC 2014
3SNR5F7R92TQ1Y4OE4KEK6XW2WFEIE	http://www.movoto.com/sunnyvale-ca/715-nutmeg-ave-sunnyvale-ca-94087-100_81420649/	http://100.mlsimages.movoto.com/049/81420649_0.jpg	715 Nutmeg Ave	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 01:28:02 UTC 2014
3BA7SXOG1JQMLWXGROSN6O21EP08RD	http://www.movoto.com/sunnyvale-ca/1050-e-evelyn-ave-sunnyvale-ca-94086-100_81407460/	http://100.mlsimages.movoto.com/060/81407460_0.jpg	1050 E Evelyn Ave	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 02:12:54 UTC 2014
3FBEFUUYRK57I1SBWY93RKH08QLA6K	http://www.movoto.com/sunnyvale-ca/787-cascade-dr-sunnyvale-ca-94087-100_81425440/	http://100.mlsimages.movoto.com/040/81425440_0.jpg	787 Cascade Dr	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 02:17:25 UTC 2014
38B7Q9C28G5TDII64SV3VP6G284692	http://www.movoto.com/cupertino-ca/22032-lindy-ln-cupertino-ca-95014-100_81316666/	http://100.mlsimages.movoto.com/066/81316666_0.jpg	22032 Lindy Ln	cupertino	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 02:20:09 UTC 2014
3IH9TRB0FBZRHXAC2GPZDME2DNAI1Y	http://www.movoto.com/sunnyvale-ca/1552-lewiston-dr-sunnyvale-ca-94087-100_81417685/	http://100.mlsimages.movoto.com/085/81417685_0.jpg	1552 Lewiston Dr	sunnyvale	A3H8M155NBFE1L	NA - no interior pics	Fri Nov 14 02:21:44 UTC 2014
31HLTCK4BLVT7IKFJ69LZY82NEPVG8	http://www.movoto.com/sunnyvale-ca/566-carlisle-way-sunnyvale-ca-94087-100_81406772/	http://100.mlsimages.movoto.com/072/81406772_0.jpg	566 Carlisle Way	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 02:22:50 UTC 2014
3B623HUYJ4QYMBXT6DSSWY7X0RIS8K	http://www.movoto.com/sunnyvale-ca/250-santa-fe-ter-302-sunnyvale-ca-94085-100_81421535/	http://100.mlsimages.movoto.com/035/81421535_0.jpg	250 Santa Fe TER #302	sunnyvale	A3H8M155NBFE1L	5 Star - Top 20%	Fri Nov 14 02:23:46 UTC 2014
3BA7SXOG1JQMLWXGROSN6O21EPYR8U	http://www.movoto.com/sunnyvale-ca/1172-la-rochelle-ter-c-sunnyvale-ca-94089-100_81418287/	http://100.mlsimages.movoto.com/087/81418287_0.jpg	1172 La Rochelle TER #c	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:25:39 UTC 2014
31ODACBENUF4SFXPS79SIPSXUX4SQV	http://www.movoto.com/sunnyvale-ca/1256-pome-ave-sunnyvale-ca-94087-100_81421724/	http://100.mlsimages.movoto.com/024/81421724_0.jpg	1256 Pome Ave	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:27:19 UTC 2014
3ZTE0JGGCESL0MVDG8ROEFTFTT0COD	http://www.movoto.com/cupertino-ca/10661-gascoigne-dr-cupertino-ca-95014-100_81415875/	http://100.mlsimages.movoto.com/075/81415875_0.jpg	10661 Gascoigne Dr	cupertino	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:30:03 UTC 2014
3H5TOKO3D9JSGCCUNXZCEHV0GGQ646	http://www.movoto.com/sunnyvale-ca/1492-revelstoke-way-sunnyvale-ca-94087-100_81418560/	http://100.mlsimages.movoto.com/060/81418560_0.jpg	1492 Revelstoke Way	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:34:10 UTC 2014
30IRMPJWDZJ6GXZH0DPQWTBS9PSRKD	http://www.movoto.com/sunnyvale-ca/202-peppermint-tree-ter-3-sunnyvale-ca-94086-100_81415516/	http://100.mlsimages.movoto.com/016/81415516_0.jpg	202 Peppermint Tree TER #3	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:35:17 UTC 2014
32XN26MTXZJT09X0R0ICRXNKPZZ0LS	http://www.movoto.com/cupertino-ca/21544-conradia-ct-cupertino-ca-95014-100_81434304/	http://100.mlsimages.movoto.com/004/81434304_0.jpg	21544 Conradia Ct	cupertino	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:49:03 UTC 2014
3PKVGQTFIHK102OY4SQH51Q3742YRG	http://www.movoto.com/cupertino-ca/10136-orange-ave-cupertino-ca-95014-100_81415550/	http://100.mlsimages.movoto.com/050/81415550_0.jpg	10136 Orange Ave	cupertino	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:51:02 UTC 2014
3QGTX7BCHP2C050537FXG7U9LGI5Z1	http://www.movoto.com/cupertino-ca/13811-montebello-rd-cupertino-ca-95014-100_81429573/	http://100.mlsimages.movoto.com/073/81429573_0.jpg	13811 Montebello Rd	cupertino	A18IJ8C5SL628I	NA - no interior pics	Fri Nov 14 02:57:40 UTC 2014
3ZQA3IO31BR1DJLF0B24XJAOPW9O1Z	http://www.movoto.com/sunnyvale-ca/1141-reed-ave-d-sunnyvale-ca-94086-100_81412612/	http://100.mlsimages.movoto.com/012/81412612_0.jpg	1141 Reed Ave #d	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 02:59:59 UTC 2014
3DA79LNS59VD0E42JW2MFMV8MO53TT	http://www.movoto.com/sunnyvale-ca/1257-van-dyck-dr-sunnyvale-ca-94087-100_81409699/	http://100.mlsimages.movoto.com/099/81409699_0.jpg	1257 Van Dyck Dr	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:01:36 UTC 2014
304QEQWKZPK16U0X4SY4JEREK43O0W	http://www.movoto.com/sunnyvale-ca/801-w-california-ave-g-sunnyvale-ca-94086-100_81426656/	http://100.mlsimages.movoto.com/056/81426656_0.jpg	801 W California Ave #g	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:04:07 UTC 2014
3OWZNK3RYLP3F9N8F1ER18CIZOAU2Y	http://www.movoto.com/cupertino-ca/10105-congress-pl-cupertino-ca-95014-100_81419629/	http://100.mlsimages.movoto.com/029/81419629_0.jpg	10105 Congress Pl	cupertino	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:08:10 UTC 2014
34ZTTGSNJXOF26J9HDXTEBLVLMNQH8	http://www.movoto.com/cupertino-ca/10340-calvert-dr-cupertino-ca-95014-100_81405940/	http://100.mlsimages.movoto.com/040/81405940_0.jpg	10340 Calvert Dr	cupertino	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:10:21 UTC 2014
30UZJB2POHCBFCTCI0KOC6PU6LI533	http://www.movoto.com/sunnyvale-ca/1198-hollenbeck-ave-sunnyvale-ca-94087-100_81416660/	http://100.mlsimages.movoto.com/060/81416660_0.jpg	1198 Hollenbeck Ave	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:11:58 UTC 2014
38Z7YZ2SB32FY1UTNVFEENMALZ2IQT	http://www.movoto.com/sunnyvale-ca/1271-poplar-ave-208-sunnyvale-ca-94086-100_81419449/	http://100.mlsimages.movoto.com/049/81419449_0.jpg	1271 Poplar Ave #208	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:12:48 UTC 2014
391JB9X4ZY8FJHMPV5T9AUHI32UKMJ	http://www.movoto.com/sunnyvale-ca/1023-lochness-ct-sunnyvale-ca-94087-100_81429042/	http://100.mlsimages.movoto.com/042/81429042_0.jpg	1023 Lochness Ct	sunnyvale	AWISGDFIKTX85	5 Star - Top 20%	Fri Nov 14 03:14:18 UTC 2014
3RIHDBQ1NEYOHRLHPKQCX21QBLQHMC	http://www.movoto.com/sunnyvale-ca/329-america-ave-sunnyvale-ca-94085-100_81422733/	http://100.mlsimages.movoto.com/033/81422733_0.jpg	329 America Ave	sunnyvale	AWISGDFIKTX85	NA - no interior pics	Fri Nov 14 03:16:56 UTC 2014
3GONHBMNHVYA8CLBV6WJX95V7B7MZ7	http://www.movoto.com/sunnyvale-ca/764-kilkenny-ct-sunnyvale-ca-94087-100_81436767/	http://100.mlsimages.movoto.com/067/81436767_0.jpg	764 Kilkenny Ct	sunnyvale	A2BO8M77CS3SGZ	5 Star - Top 20%	Fri Nov 14 03:20:36 UTC 2014
39I4RL8QGJH8D1WBJGQGB8KQPU54H4	http://www.movoto.com/sunnyvale-ca/1152-la-rochelle-ter-c-sunnyvale-ca-94089-100_81410645/	http://100.mlsimages.movoto.com/045/81410645_0.jpg	1152 La Rochelle TER #c	sunnyvale	A2BO8M77CS3SGZ	5 Star - Top 20%	Fri Nov 14 03:25:28 UTC 2014
3MQY1YVHS3KOJAE2FAXWWIKUA34B2Z	http://www.movoto.com/cupertino-ca/19952-portal-plz-cupertino-ca-95014-100_81424289/	http://100.mlsimages.movoto.com/089/81424289_0.jpg	19952 Portal Plz	cupertino	A2BO8M77CS3SGZ	5 Star - Top 20%	Fri Nov 14 03:25:56 UTC 2014
