SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	LIST PRICE	BEDS	BATHS	LOCATION	SQFT	LOT SIZE	YEAR BUILT	PARKING SPOTS	PARKING TYPE	DAYS ON MARKET	STATUS	NEXT OPEN HOUSE DATE	NEXT OPEN HOUSE START TIME	NEXT OPEN HOUSE END TIME	RECENT REDUCTION DATE	ORIGINAL LIST PRICE	LAST SALE DATE	LAST SALE PRICE	URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING)	SOURCE	LISTING ID	ORIGINAL SOURCE	FAVORITE	INTERESTED	LATITUDE	LONGITUDE	IS SHORT SALE
Past Sale	Condo/Coop	2001 ALAMEDA DE LAS PULGAS #182	San Mateo	CA	94403	599000	3	2	San Mateo	1292	60687	1974				Sold					599000	9/11/14	618000	http://www.redfin.com/CA/San-Mateo/2001-Alameda-De-Las-Pulgas-94403/unit-182/home/1252654	MLSListings Inc. (MLSLI)	81432040	Laurel Realty & Investment	N	Y	37.54665	-122.320091	FALSE
Past Sale	Single Family Residential	609 CARIBBEAN Way	San Mateo	CA	94402	1778000	4	2.5	San Mateo	2200	6480	1973	1	Garage		Sold					1778000	9/10/14	1838000	http://www.redfin.com/CA/San-Mateo/609-Caribbean-Way-94402/home/1791725	MLSListings Inc. (MLSLI)	81431238	Coldwell Banker	N	Y	37.547771	-122.324585	FALSE
Past Sale	Condo/Coop	814 N DELAWARE St #209	San Mateo	CA	94401	415000	1	1	San Mateo	693	1114920	1965	1	Garage		Sold					415000	9/10/14	450000	http://www.redfin.com/CA/San-Mateo/814-N-Delaware-St-94401/unit-209/home/12529343	MLSListings Inc. (MLSLI)	81431613	Better Homes and Gardens Real Estate J.F. Finnegan	N	Y	37.563377	-122.316383	FALSE
Past Sale	Condo/Coop	10 CRYSTAL SPRINGS Rd #2214	San Mateo	CA	94402	794350	2	2	San Mateo	1238	46847	2008				Sold					794350	9/9/14	765000	http://www.redfin.com/CA/San-Mateo/10-Crystal-Springs-Rd-94402/unit-2214/home/17307364	MLSListings Inc. (MLSLI)	81404156	Polaris Pacific	N	Y	37.564466	-122.328103	FALSE
Past Sale	Single Family Residential	1666 S NORFOLK St	San Mateo	CA	94403	729500	3	1	San Mateo	1539	5400	1954				Sold				9/4/14	769500	9/9/14	710000	http://www.redfin.com/CA/San-Mateo/1666-S-Norfolk-St-94403/home/1331493	MLSListings Inc. (MLSLI)	81430988	Atlantic Realty	N	Y	37.561165	-122.299263	FALSE
Past Sale	Single Family Residential	110 Mira St	Foster City	CA	94404	1350000	4	2	Foster City	1770	5700	1971	2			Sold					1350000	9/5/14	1000000	http://www.redfin.com/CA/Foster-City/110-Mira-St-94404/home/935136	San Francisco Association of Realtors (SFARMLS)	420792	Coldwell Banker-Benicia	N	Y	37.548958	-122.278648	FALSE
Past Sale	Single Family Residential	180 SPURAWAY Dr	San Mateo	CA	94403	995000	3	2	San Mateo	1310	5096	1954	1	Garage		Sold				8/29/14	1088000	9/7/14	1070000	http://www.redfin.com/CA/San-Mateo/180-Spuraway-Dr-94403/home/1998886	MLSListings Inc. (MLSLI)	81427927	8z Real Estate	N	Y	37.548054	-122.317001	FALSE
Past Sale	Single Family Residential	295 EL CERRITO Ave	Hillsborough	CA	94010	4999500	5	6	Hillsborough	5900	23975	1993	1	Garage		Sold				8/26/14	5495000	9/2/14	4999500	http://www.redfin.com/CA/Hillsborough/295-El-Cerrito-Ave-94010/home/1532618	MLSListings Inc. (MLSLI)	81421294	Green Banker Realty	N	Y	37.563347	-122.336967	FALSE
Past Sale	Condo/Coop	601 LAUREL Ave #607	San Mateo	CA	94401	700000	2	2	San Mateo	1450	31359	1992	1	Garage		Sold					700000	9/3/14	700000	http://www.redfin.com/CA/San-Mateo/601-Laurel-Ave-94401/unit-607/home/2043533	MLSListings Inc. (MLSLI)	81427318	"Sunrise Senior Living Mgmt.,"	N	Y	37.562622	-122.320808	FALSE
Past Sale	Townhouse	1141 SHOAL Dr	San Mateo	CA	94404	1249000	3	2.5	MGA#3	2060	2782	1976	1	Garage		Sold					1249000	9/5/14	1235000	http://www.redfin.com/CA/San-Mateo/1141-Shoal-Dr-94404/home/1648119	MLSListings Inc. (MLSLI)	81430844	"James F. Enes, Broker"	N	Y	37.56237	-122.291916	FALSE
Past Sale	Condo/Coop	211 S FREMONT St #306	San Mateo	CA	94401	236500	1	1	GATEWAY	692	106122	1989	1	Garage		Sold					236500	9/5/14	236500	http://www.redfin.com/CA/San-Mateo/211-S-Fremont-St-94401/unit-306/home/1147844	MLSListings Inc. (MLSLI)	81432448	Today Sothebys International Realty	N	Y	37.569206	-122.318405	FALSE
Past Sale	Condo/Coop	904 BEACH PARK Blvd #131	Foster City	CA	94404	625000	2	2	Foster City	1087	394588	1973	1	Garage		Sold					625000	9/4/14	690000	http://www.redfin.com/CA/Foster-City/904-Beach-Park-Blvd-94404/unit-131/home/1922090	MLSListings Inc. (MLSLI)	81430832	KW Peninsula Estates	N	Y	37.547989	-122.259003	FALSE
Past Sale	Townhouse	105 N HUMMINGBIRD Ln	San Mateo	CA	94402	799000	2	2.5	San Mateo	1275		2013	1	Garage		Sold					799000	9/2/14	775000	http://www.redfin.com/CA/San-Mateo/105-N-Hummingbird-Ln-94402/home/56875725	MLSListings Inc. (MLSLI)	81426877	Paragon Real Estate Group	N	Y	37.565647	-122.309074	FALSE
Past Sale	Single Family Residential	1025 NORTON St	San Mateo	CA	94401	688000	2	1	San Mateo	820	5550	1950	1	Garage		Sold					688000	9/2/14	710000	http://www.redfin.com/CA/San-Mateo/1025-Norton-St-94401/home/1322029	MLSListings Inc. (MLSLI)	81431524	Alain Pinel Realtors	N	Y	37.565552	-122.306549	FALSE
Past Sale	Condo/Coop	918 BEACH PARK Blvd #59	Foster City	CA	94404	725000	2	2	Foster City	1087	394588	1973	1	Garage		Sold					725000	9/3/14	707000	http://www.redfin.com/CA/Foster-City/918-Beach-Park-Blvd-94404/unit-59/home/2051694	MLSListings Inc. (MLSLI)	81430789	Woodside Realty Group	N	Y	37.547989	-122.259003	FALSE
Past Sale	Townhouse	154 BEACH PARK Blvd	Foster City	CA	94404	968000	4	2.5	Foster City	1700	1890	1974	1	Garage		Sold					968000	9/3/14	1060000	http://www.redfin.com/CA/Foster-City/154-Beach-Park-Blvd-94404/home/1446412	MLSListings Inc. (MLSLI)	81430508	Prudential California Realty	N	Y	37.54718	-122.279427	FALSE
Past Sale	Single Family Residential	1833 BYRON Ave	San Mateo	CA	94401	749000	4	2	San Mateo	1530	5100	1952				Sold					749000	9/3/14	700000	http://www.redfin.com/CA/San-Mateo/1833-Byron-Ave-94401/home/715886	MLSListings Inc. (MLSLI)	81428974	Home Quest Properties Inc	N	Y	37.569176	-122.29953	FALSE
Past Sale	Condo/Coop	58 N El Camino Real Apt 321	San Mateo	CA	94401		2	2	94401	1200		1979										8/26/14	635000	http://www.redfin.com/CA/San-Mateo/58-N-El-Camino-Real-94401/unit-321/home/2052688				N	Y	37.566662	-122.328705	
Past Sale	Single Family Residential	424 Bucknell Dr	San Mateo	CA	94402		3	2.5	94402	2260		1941										8/25/14	1976000	http://www.redfin.com/CA/San-Mateo/424-Bucknell-Dr-94402/home/1919080				N	Y	37.552555	-122.334442	
Past Sale	Single Family Residential	453 WISNOM Ave	San Mateo	CA	94401	879500	2	1	San Mateo	1120	4560	1905				Sold					879500	8/26/14	886000	http://www.redfin.com/CA/San-Mateo/453-Wisnom-Ave-94401/home/1706963	MLSListings Inc. (MLSLI)	81429866	Coldwell Banker	N	Y	37.571129	-122.336472	FALSE
Past Sale	Condo/Coop	1 Baldwin Ave Apt 810	San Mateo	CA	94401		2	2	94401	1300		1988										8/21/14	775000	http://www.redfin.com/CA/San-Mateo/1-Baldwin-Ave-94401/unit-810/home/1319028				N	Y	37.566093	-122.327995	
