SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Single Family Residential	1103 Forrestal Ln	Foster City	CA	94404	4
Past Sale	Single Family Residential	1202 S Claremont St	San Mateo	CA	94402	2
Past Sale	Condo/Coop	2041 Vista Del Mar #2	San Mateo	CA	94404	2
Past Sale	Single Family Residential	527 MAPLE St	San Mateo	CA	94402	3
Past Sale	Condo/Coop	711 S Bayshore Blvd Apt 8	San Mateo	CA	94401	2
Past Sale	Single Family Residential	2079 POLK Ave	San Mateo	CA	94403	3
Past Sale	Condo/Coop	710 Mariners Island Blvd #202	San Mateo	CA	94404	1
Past Sale	Condo/Coop	109 HARBOR SEAL Ct	San Mateo	CA	94404	1
Past Sale	Single Family Residential	1568 LODI Ave	San Mateo	CA	94401	3
Past Sale	Condo/Coop	908 Beach Park Blvd Apt 117	Foster City	CA	94404	2
Past Sale	Single Family Residential	1152 Wayne Way	San Mateo	CA	94403	3
Past Sale	Single Family Residential	651 ALTAIR Ave	Foster City	CA	94404	3
Past Sale	Single Family Residential	678 CONNIE Ave	San Mateo	CA	94402	3
Past Sale	Condo/Coop	119 E SANTA INEZ Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1432 NORTON St	San Mateo	CA	94401	3
Past Sale	Single Family Residential	126 FLYING MIST Isle	Foster City	CA	94404	4
Past Sale	Single Family Residential	2304 FLORES St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	902 BEACH PARK Blvd #134	Foster City	CA	94404	2
Past Sale	Condo/Coop	425 N El Camino Real Apt 207	San Mateo	CA	94401	2
Past Sale	Single Family Residential	676 Matsonia Dr	Foster City	CA	94404	3
Past Sale	Townhouse	886 WHARFSIDE Rd	San Mateo	CA	94404	3
Past Sale	Townhouse	875 Erickson Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	140 13th Ave	San Mateo	CA	94402	2
Past Sale	Condo/Coop	4204 Admiralty Ln	Foster City	CA	94404	2
Past Sale	Condo/Coop	688 Mariners Island Blvd #202	San Mateo	CA	94404	0
